번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
97;due;일상 및 여가 생활;형;만기의, ~하기로 되어 있는;The assignment is due at the end of the week.;;;;;;;국제 및 지역
98;equipment;과학과 기술;명;장치, 장비;The laboratory is equipped with state-of-the-art equipment for experiments.;;;;;;;국제 및 지역
99;congratulate;일상 및 여가 생활;동;축하하다;She congratulated her friend on winning the competition.;;;;;;;국제 및 지역
100;birth;일상 및 여가 생활;명;탄생;The birth of a child is a joyous occasion for the family.;;;;;;;국제 및 지역
101;compose;음식과 요리;동;구성하다, 작곡하다, 작문하다;Composing music requires creativity.;;;;;;;비즈니스와 경제
102;genius;일상 및 여가 생활;명;천재, 천재성;Genius is not limited to intelligence.;;;;;;;국제 및 지역
103;reflect;일상 및 여가 생활;동;반영하다, 반사하다, 숙고하다;The mirror reflects the light.;;;;;;;국제 및 지역
104;cause;일상 및 여가 생활;동;~의 원인이 되다, 야기하다;Each event has a cause.;명;이유;Finding the cause is crucial for problem-solving.;;;;국제 및 지역
105;frequent;건강과 의료;형;빈번한;Frequent exercise is good for health.;동;(장소,모임에) 자주 가다;I frequent the gym.;;;;국제 및 지역
106;factor;건강과 의료;명;요인, 요소;Genetics is a significant factor in health.;;;;;;;국제 및 지역
107;extreme;음식과 요리;형;극단의;The weather is extremely cold today.;명;극단;The two ends of the spectrum are extreme.;;;;국제 및 지역
108;tend;일상 및 여가 생활;동;~하는 경향이 있다, 돌보다;She tends to get angry easily.;;;;;;;국제 및 지역
109;politics;정치, 법률 및 사회;명;정치, 정치학;Politics is a complex field.;;;;;;;국제 및 지역
110;insist;일상 및 여가 생활;동;주장하다;He insists on doing it his way.;;;;;;;국제 및 지역
111;extend;일상 및 여가 생활;동;연장하다, 넓히다;They plan to extend the highway.;;;;;;;국제 및 지역
112;lonely;일상 및 여가 생활;형;외로운;He felt lonely in the big city.;;;;;;;국제 및 지역
113;habitat;일상 및 여가 생활;명;서식지, 주거지;The forest is the habitat of many animals.;;;;;;;국제 및 지역
114;mental;건강과 의료;형;정신의;Mental health is important.;;;;;;;국제 및 지역
115;steady;일상 및 여가 생활;형;안정된, 한결같은, 꾸준한;She maintained a steady pace.;;;;;;;국제 및 지역
116;exchange;일상 및 여가 생활;동;교환하다;They exchanged gifts during the holidays.;;;;;;;국제 및 지역
117;active;일상 및 여가 생활;형;활동적인, 적극적인;He leads an active lifestyle.;;;;;;;국제 및 지역
118;species;일상 및 여가 생활;명;(생물분류상의) 종;There are many species of birds.;;;;;;;국제 및 지역
119;athletic;일상 및 여가 생활;형;운동의, 운동경기의;She is an athletic person.;;;;;;;국제 및 지역
120;dental;건강과 의료;형;치아의;Dental care is essential for oral health.;;;;;;;국제 및 지역
121;delight;일상 및 여가 생활;명;기쁨;Their faces showed pure delight.;동;기쁘게 하다;The news delighted him immensely.;;;;국제 및 지역
122;confident;일상 및 여가 생활;형;자신 있는;She feels confident about the presentation.;;;;;;;국제 및 지역
123;gradually;일상 및 여가 생활;부;점차, 서서히;The plant grew gradually over time.;;;;;;;국제 및 지역
124;shadow;일상 및 여가 생활;명;그림자;She walked in the shadow of the trees.;동;그늘지게 하다;The building shadows the garden.;;;;국제 및 지역
125;access;일상 및 여가 생활;명;접근, 이용;Access to information is crucial.;동;접근하다;They accessed the database for research.;;;;국제 및 지역
126;announce;일상 및 여가 생활;동;발표하다, 알리다;They announced their engagement yesterday.;;;;;;;국제 및 지역
127;allow;일상 및 여가 생활;동;허락하다, 인정하다;Parents should allow children to express themselves.;;;;;;;인간과 사회
128;firm;일상 및 여가 생활;형;확고한, 단단한;She gave a firm handshake.;명;회사;Their firm specializes in software development.;;;;국제 및 지역
129;vary;일상 및 여가 생활;동;바꾸다, 변하다, 다르다;The prices vary depending on the size.;;;;;;;국제 및 지역
130;injure;스포츠;동;상처를 입히다, 손상시키다;He injured his leg while playing soccer.;;;;;;;국제 및 지역
131;permit;일상 및 여가 생활;동;허용[허락]하다;The sign permits parking for two hours.;;;;;;;국제 및 지역
132;response;일상 및 여가 생활;명;응답, 반응;His response surprised everyone.;;;;;;;국제 및 지역
133;threat;음식과 요리;동;위협, 협박;The storm threatens the safety of the residents.;;;;;;;국제 및 지역
134;electricity;일상 및 여가 생활;명;전기;Electricity powers our homes.;;;;;;;국제 및 지역
135;disabled;일상 및 여가 생활;형;장애를 가진, 무능력하게 된;The disabled parking spot is near the entrance.;;;;;;;국제 및 지역
136;lack;일상 및 여가 생활;명;부족;The lack of evidence made the case difficult.;동;~이 부족하다;She lacks confidence in her abilities.;;;;국제 및 지역
137;signify;일상 및 여가 생활;동;의미하다, 중요하다;His silence signified his consent.;;;;;;;국제 및 지역
138;concentrate;일상 및 여가 생활;동;집중하다;She concentrated on her studies.;;;;;;;국제 및 지역
139;emphasize;스포츠;동;강조하다;He emphasized the importance of teamwork.;;;;;;;국제 및 지역
140;astronomy;일상 및 여가 생활;명;천문학;He studied astronomy in college.;;;;;;;국제 및 지역
141;flood;일상 및 여가 생활;명;홍수;The flood damaged many homes.;동;범람시키다;Heavy rain could flood the streets.;;;;국제 및 지역
142;fuel;일상 및 여가 생활;명;연료;Gasoline is a common fuel for cars.;동;연료를 공급하다;The company fuels its trucks at the depot.;;;;국제 및 지역
143;manufacture;일상 및 여가 생활;동;제조하다;The factory manufactures cars.;명;제조(업), 제품;The company is a leader in the manufacture of smartphones.;;;;국제 및 지역
144;movement;일상 및 여가 생활;명;움직임, 운동;His movements were slow and deliberate.;;;;;;;국제 및 지역
145;capable;일상 및 여가 생활;형;~을 할 수 있는, 유능한;She is capable of handling difficult situations.;;;;;;;국제 및 지역
146;combine;음식과 요리;동;결합하다, 겸비하다;The recipe combines sweet and savory flavors.;;;;;;;국제 및 지역
147;gene;일상 및 여가 생활;명;유전자;Genes determine many of our traits.;;;;;;;국제 및 지역
148;increase;일상 및 여가 생활;동;(수량이) 증가하다;The company increased its profits this year.;명;증가, 이자;The increase in temperature was noticeable.;;;;국제 및 지역
149;victim;일상 및 여가 생활;명;희생, 피해자;She became the victim of identity theft.;;;;;;;국제 및 지역
150;pressure;일상 및 여가 생활;명;압력, 압박;The pressure to perform well was immense.;동;압력을 가하다;They pressured him to make a decision.;;;;국제 및 지역
151;accompany;일상 및 여가 생활;동;동반[동행]하다, 수반하다;His wife accompanied him on the trip.;;;;;;;국제 및 지역
152;frustrate;일상 및 여가 생활;동;좌절시키다;His failure frustrated him.;;;;;;;국제 및 지역
153;construct;일상 및 여가 생활;동;건설하다;They plan to construct a new building.;;;;;;;국제 및 지역
154;dwindle;일상 및 여가 생활;동;점점 줄어들다, 저하되다;The resources dwindled as the project progressed.;;;;;;;국제 및 지역
155;commerce;일상 및 여가 생활;명;상업, 교역;Commerce between the two countries flourished.;;;;;;;국제 및 지역
156;entertain;문화와 예술;동;즐겁게 하다;The clown entertained the children at the party.;;;;;;;국제 및 지역
157;predict;일상 및 여가 생활;동;예언하다, 예측하다;Scientists predict a rise in global temperatures.;;;;;;;국제 및 지역
158;apologize;일상 및 여가 생활;동;사과하다;He apologized for his mistake.;;;;;;;국제 및 지역
159;sight;음식과 요리;명;시야, 광경, 시력;The beautiful sight took her breath away.;;;;;;;국제 및 지역
160;quantity;일상 및 여가 생활;명;양;They measured the quantity of water in the tank.;;;;;;;국제 및 지역
161;conclude;일상 및 여가 생활;동;결론짓다, 끝내다;They concluded the meeting with a vote.;;;;;;;국제 및 지역
162;donate;경제, 금융 및 산업;동;기부하다;She donated money to charity.;;;;;;;국제 및 지역
163;personality;일상 및 여가 생활;명;개성, 성격, 특색;His personality shines through in his writing.;;;;;;;국제 및 지역
164;struggle;일상 및 여가 생활;동;싸우다, 노력하다;He struggled to find a solution to the problem.;명;투쟁, 노력;The struggle for civil rights continues.;;;;국제 및 지역
165;advantage;일상 및 여가 생활;명;유리한 점, 이점;His experience gives him an advantage.;;;;;;;국제 및 지역
166;variety;일상 및 여가 생활;명;다양, 다양성;There is a wide variety of fruits available.;;;;;;;국제 및 지역
167;enable;과학과 기술;동;가능하게 하다;The new software enables faster processing.;;;;;;;국제 및 지역
168;instruction;일상 및 여가 생활;명;지시, 제품 사용 설명서, 가르침;Follow the instructions carefully.;;;;;;;국제 및 지역
169;assume;일상 및 여가 생활;동;추정하다, (태도 등을) 취하다;Let's not assume anything until we have all the facts.;;;;;;;인간과 사회
170;attempt;일상 및 여가 생활;동;시도하다;She attempted to climb the mountain.;;;;;;;국제 및 지역
171;incredible;일상 및 여가 생활;형;믿을 수 없는, (믿기 어려울 만큼) 굉장한;The view from the top of the mountain was incredible.;;;;;;;국제 및 지역
172;feature;음식과 요리;명;특징, 특집 기사, 얼굴 생김새;The new smartphone has many advanced features.;동;~을 특징으로 하다, 주연하다;The movie features a famous actor in the lead role.;;;;과학과 기술
173;confuse;일상 및 여가 생활;동;혼동하다, 혼란시키다;His explanation only confused me more.;;;;;;;국제 및 지역
174;electronic;일상 및 여가 생활;형;전자의;The electronic device malfunctioned.;;;;;;;국제 및 지역
175;absorb;일상 및 여가 생활;동;흡수하다, (사람, 마음을) 열중시키다;Plants absorb nutrients from the soil.;;;;;;;국제 및 지역
176;indicate;건강과 의료;동;가리키다, 나타내다;The map indicates the location of the nearest hospital.;;;;;;;국제 및 지역
177;analyze;일상 및 여가 생활;동;분석하다;Scientists analyze data to draw conclusions.;;;;;;;국제 및 지역
178;stock;일상 및 여가 생활;명;재고품, 저장, 가축;The store has a wide stock of products.;동;저장하다, (물품을) 들여놓다;They stocked up on food before the storm.;;;;국제 및 지역
179;resident;일상 및 여가 생활;명;거주자;The residents of the neighborhood are friendly.;;;;;;;국제 및 지역
180;labor;일상 및 여가 생활;명;노동, 산고;She works hard at her labor.;동;노동하다;They labored all day to finish the project.;;;;국제 및 지역
181;remark;일상 및 여가 생활;명;의견, 주목;Her remarks during the meeting were insightful.;동;의견을 말하다, ~에 주목하다;He remarked on the beautiful sunset.;;;;국제 및 지역
182;moral;일상 및 여가 생활;형;도덕적인;The decision was based on moral principles.;;;;;;;국제 및 지역
183;embarrassed;일상 및 여가 생활;형;당황한;He felt embarrassed about his mistake.;;;;;;;국제 및 지역
184;claim;일상 및 여가 생활;동;주장하다;She claims to have seen a UFO.;명;요구, 주장;The insurance company rejected his claim.;;;;국제 및 지역
185;reasonable;일상 및 여가 생활;형;논리적인, 분별력 있는;His request seemed reasonable.;;;;;;;국제 및 지역
186;interrupt;일상 및 여가 생활;동;방해하다, 중단하다;Please don't interrupt me while I'm speaking.;;;;;;;국제 및 지역
187;discount;일상 및 여가 생활;명;할인;The store offered a discount on all items.;동;할인하다;They discounted the price of the product.;;;;국제 및 지역
188;creature;일상 및 여가 생활;명;생물, 피조물;The forest is home to many strange creatures.;;;;;;;국제 및 지역
189;heal;일상 및 여가 생활;동;치료하다, 낫게 하다;Time will heal all wounds.;;;;;;;국제 및 지역
190;establish;일상 및 여가 생활;동;설립하다, 확립하다, 제정하다;They established a new company together.;;;;;;;국제 및 지역
191;revolution;문화와 예술;명;혁명, 갑작스러운 변화, 회전;The industrial revolution changed society.;;;;;;;국제 및 지역
192;criticize;일상 및 여가 생활;동;비난하다;She criticized his choice of clothes.;;;;;;;국제 및 지역
193;convince;일상 및 여가 생활;동;확신시키다, 납득시키다;He tried to convince them to go with him.;;;;;;;국제 및 지역
194;efficient;일상 및 여가 생활;형;효율적인, 유능한;The new system is more efficient than the old one.;;;;;;;국제 및 지역
195;stranger;일상 및 여가 생활;명;낯선 사람, 문외한;She struck up a conversation with a stranger at the bus stop.;;;;;;;국제 및 지역
196;tide;일상 및 여가 생활;명;조수, 흐름;The tide came in and covered the beach.;;;;;;;국제 및 지역
197;obtain;일상 및 여가 생활;동;획득하다, 통용되다, 행해지다;He obtained a copy of the document.;;;;;;;국제 및 지역
198;assist;일상 및 여가 생활;동;도움을 주다;She assisted him with his homework.;;;;;;;국제 및 지역
199;disaster;문화와 예술;명;재앙, 재난, 재해;The earthquake was a natural disaster.;;;;;;;국제 및 지역
200;terrific;일상 및 여가 생활;형;굉장한, 훌륭한;She did a terrific job on her presentation.;;;;;;;국제 및 지역
201;specific;일상 및 여가 생활;형;구체적인;Each situation requires a specific solution.;;;;;;;국제 및 지역
202;react;일상 및 여가 생활;동;반응하다;People react differently to the same situation.;;;;;;;국제 및 지역
203;independent;일상 및 여가 생활;형;독립적인;Independent thinking is crucial for innovation.;;;;;;;국제 및 지역
204;theory;일상 및 여가 생활;명;이론;Each scientific theory undergoes rigorous testing.;;;;;;;국제 및 지역
205;qualify;일상 및 여가 생활;동;자격을 얻다;To qualify for the scholarship, students must meet certain criteria.;;;;;;;국제 및 지역
206;consider;일상 및 여가 생활;동;숙고하다;It's important to consider all possible outcomes before making a decision.;;;;;;;국제 및 지역
207;recall;일상 및 여가 생활;동;상기하다;Recall of past events can be influenced by various factors.;;;;;;;국제 및 지역
208;risk;경제, 금융 및 산업;명;위험;Every investment carries a certain degree of risk.;;;;;;;국제 및 지역
209;treatment;건강과 의료;명;치료(법);Effective treatment requires a holistic approach.;;;;;;;국제 및 지역
210;engage;일상 및 여가 생활;동;관여하다;Employees are more likely to engage with their work if they feel valued.;;;;;;;국제 및 지역
211;motivate;기타;동;동기를 부여하다;A supportive environment can motivate employees to perform better.;;;;;;;국제 및 지역
212;clue;일상 및 여가 생활;명;실마리;Each clue leads us closer to solving the mystery.;;;;;;;국제 및 지역
213;cancer;과학과 기술;명;암;Cancer research has made significant strides in recent years.;;;;;;;국제 및 지역
214;elder;일상 및 여가 생활;명;연장자;Elders in the community provide valuable wisdom and guidance.;;;;;;;국제 및 지역
215;depress;일상 및 여가 생활;동;우울하게 하다;Constant criticism can depress even the most resilient individuals.;;;;;;;국제 및 지역
216;fascinate;과학과 기술;동;매료시키다;The intricacies of the human mind continue to fascinate researchers.;;;;;;;국제 및 지역
217;violent;일상 및 여가 생활;형;폭력적인;Exposure to violent media can desensitize individuals to real-life violence.;;;;;;;국제 및 지역
218;alarm;문화와 예술;명;경보;The sound of the alarm signaled the start of the evacuation.;;;;;;;국제 및 지역
219;edge;일상 및 여가 생활;명;가장자리;Standing on the edge of the cliff, he felt a rush of adrenaline.;;;;;;;국제 및 지역
220;deserve;일상 및 여가 생활;동;받을 만하다;Hard work and dedication deserve recognition.;;;;;;;국제 및 지역
221;route;일상 및 여가 생활;명;길;Finding the fastest route to your destination can save time and fuel.;;;;;;;국제 및 지역
222;psychology;교육과 학습;명;심리학;Psychology explores the complex workings of the human mind.;;;;;;;국제 및 지역
223;passion;음악과 엔터테인먼트;명;열정;Her passion for music drove her to pursue a career as a musician.;;;;;;;국제 및 지역
224;import;일상 및 여가 생활;명;수입;The country relies heavily on the import of raw materials.;;;;;;;국제 및 지역
225;purchase;일상 및 여가 생활;명;구매;Online purchases have surged in popularity in recent years.;;;;;;;국제 및 지역
226;conscience;과학과 기술;명;양심;A guilty conscience can weigh heavily on a person's mind.;;;;;;;국제 및 지역
227;pose;일상 및 여가 생활;동;자세를 취하다;The model struck a dramatic pose for the photographer.;;;;;;;국제 및 지역
228;length;일상 및 여가 생활;명;길이;The length of the river determines its navigability.;;;;;;;국제 및 지역
